category,url
ssd,https://www.komplett.dk/product/1133452/hardware/lagring/harddiskssd/ssd-m2/corsair-force-series-mp600-1tb-m2-ssd#
bærbar,https://www.komplett.dk/product/1147203/gaming/gaming-pc/baerbar/komplett-khameleon-p9-baerbar-gaming-pc
gpu,https://www.komplett.dk/product/1168490/hardware/pc-komponenter/grafikkort/asus-geforce-rtx-3090-tuf-oc-gaming
højtaler,https://www.komplett.dk/product/849816/gaming/spiludstyr/gaming-hoejttalere/logitech-z533-pc-hoejttalere#
højtaler,https://www.avxperten.dk/pc-hoejtalere/logitech-pc-hoejttaler-subwoofer-z533.asp
ssd,https://www.komplett.dk/product/1154847/hardware/lagring/harddiskssd/ssd-m2/wd-red-sa500-1tb-m2-ssd
ssd,https://www.komplett.dk/product/1120737/hardware/lagring/harddiskssd/ssd-m2/samsung-970-evo-plus-1tb-ssd
ssd,https://www.komplett.dk/product/1170610/hardware/lagring/harddiskssd/ssd-m2/corsair-mp400-1tb-nvme-pcie-m2-ssd
mus,https://www.komplett.dk/product/1130318/gaming/spiludstyr/gaming-mus/logitech-g502-lightspeed-traadloes-mus
gpu,https://www.komplett.dk/product/1174206/hardware/pc-komponenter/grafikkort/asus-geforce-rtx-3060-ti-tuf-gaming-oc#
